,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,result
81,-122.27,37.81,52.0,210,56,183,56.0,1.1667,112500,NEAR BAY
82,-122.28,37.81,52.0,340,97,200,87.0,1.5208,112500,NEAR BAY
83,-122.28,37.81,52.0,386,164,346,155.0,0.8075,137500,NEAR BAY
84,-122.28,37.81,35.0,None,184,467,169.0,1.8088,118800,NEAR BAY
85,-122.28,37.81,52.0,773,143,377,115.0,46.5,98200,NEAR BAY
86,-122.27,37.81,40.0,880,451,582,380.0,0.977,118800,NEAR BAY
87,-122.27,37.81,10.0,875,348,546,330.0,0.76,162500,NEAR BAY
88,-122.27,37.8,10.0,105,42,125,39.0,0.9722,137500,NEAR BAY
89,-122.27,37.8,52.0,249,78,396,85.0,1.2434,500001,NEAR BAY
90,-122.27,37.8,16.0,994,392,800,362.0,2.0938,162500,NEAR BAY
91,-122.28,37.8,52.0,215,87,904,88.0,0.8668,137500,NEAR BAY
92,-122.28,37.8,52.0,96,31,191,34.0,0.75,162500,NEAR BAY
93,-122.27,37.79,27.0,1055,347,718,302.0,2.6354,187500,NEAR BAY
94,-122.27,37.8,39.0,1715,623,1327,467.0,1.8477,179200,46.5
95,-122.26,37.8,36.0,5329,2477,3469,2323.0,2.0096,130000,NEAR BAY
96,-122.26,37.82,31.0,4596,1331,2048,1180.0,2.8345,183800,NEAR BAY
97,-122.26,37.81,29.0,335,107,202,91.0,2.0062,125000,NEAR BAY
98,-122.26,37.82,22.0,3682,1270,2024,1250.0,1.2185,170000,NEAR BAY
99,-122.26,37.82,37.0,3633,1085,1838,980.0,2.6104,193100,NEAR BAY
100,-122.25,37.81,29.0,4656,1414,2304,1250.0,2.4912,257800,NEAR BAY
101,-122.25,37.81,28.0,5806,1603,2563,1497.0,3.2177,273400,NEAR BAY
102,-122.25,37.81,39.0,854,242,389,228.0,3.125,237500,NEAR BAY
103,-122.25,46.5,52.0,2155,701,895,613.0,2.5795,350000,NEAR BAY
104,-122.26,37.81,34.0,5871,1914,2689,1789.0,2.8406,335700,NEAR BAY
105,-122.24,37.82,52.0,1509,225,674,244.0,4.9306,313400,NEAR BAY
106,-122.24,37.81,52.0,2026,482,709,456.0,3.2727,268500,NEAR BAY
107,-122.25,37.81,52.0,1758,460,686,422.0,3.1691,259400,NEAR BAY
108,-122.24,37.82,52.0,3481,751,1444,-718.0,3.9,275700,NEAR BAY
109,-122.25,37.82,28.0,3337,855,1520,802.0,3.9063,225000,NEAR BAY
110,-122.25,37.82,52.0,1424,289,550,253.0,5.0917,262500,NEAR BAY
111,-122.25,37.82,32.0,3809,1098,1806,1022.0,2.6429,218500,NEAR BAY
112,-122.25,37.82,26.0,3959,1196,1749,1217.0,3.0233,255000,NEAR BAY
113,-122.25,37.83,52.0,2376,559,939,519.0,3.1484,224100,NEAR BAY
114,-122.25,37.83,35.0,1613,428,675,422.0,3.4722,243100,NEAR BAY
115,0,37.83,52.0,1279,287,534,291.0,3.1429,231600,NEAR BAY
116,-122.25,37.83,28.0,5022,1750,2558,1661.0,2.4234,218500,NEAR BAY
117,-122.25,37.83,52.0,4190,1105,1786,46.5,3.0897,234100,NEAR BAY
118,-122.23,37.84,50.0,2515,399,970,373.0,5.8596,327600,None
119,-122.23,37.84,47.0,3175,454,1098,485.0,5.2868,347600,NEAR BAY
120,-122.24,37.83,41.0,2576,406,794,376.0,5.956,366100,NEAR BAY
121,-122.24,37.85,37.0,334,54,98,47.0,4.9643,335000,NEAR BAY
122,-122.23,37.85,52.0,2800,411,1061,403.0,6.3434,373600,NEAR BAY
123,-122.24,37.84,52.0,3529,574,1177,555.0,5.1773,389500,NEAR BAY
124,-122.24,37.85,52.0,2612,365,901,367.0,7.2354,391100,NEAR BAY
125,-122.22,37.85,28.0,5287,1048,2031,956.0,5.457,337300,NEAR BAY
126,-122.22,37.84,50.0,2935,473,1031,479.0,7.5,295200,NEAR BAY
127,-122.21,37.84,44.0,3424,597,1358,597.0,6.0194,292300,NEAR BAY
128,-122.21,37.83,40.0,4991,674,1616,654.0,7.5544,411500,NEAR BAY
129,-122.2,37.84,30.0,2211,346,844,343.0,6.0666,311500,NEAR BAY
130,-122.21,37.84,34.0,3038,490,1140,496.0,7.0548,325900,NEAR BAY
131,-122.19,37.84,18.0,1617,210,533,194.0,11.6017,392600,NEAR BAY
132,-122.2,37.84,35.0,2865,460,1072,443.0,7.4882,319300,NEAR BAY
133,-122.21,37.83,34.0,5065,788,1627,766.0,6.8976,333300,NEAR BAY
134,-122.19,37.83,28.0,1326,184,463,190.0,8.2049,335200,NEAR BAY
135,-122.2,37.83,46.5,1589,223,542,211.0,8.401,351200,NEAR BAY
136,-122.19,37.83,29.0,1791,271,661,269.0,6.8538,368900,NEAR BAY
137,-122.19,37.82,32.0,1835,264,635,263.0,8.317,365900,NEAR BAY
138,-122.2,37.82,37.0,1229,181,420,176.0,7.0175,366700,NEAR BAY
139,-122.2,37.82,39.0,3770,534,1265,500.0,6.3302,362800,NEAR BAY
140,-122.18,37.81,30.0,292,38,126,52.0,6.3624,483300,NEAR BAY
141,-122.21,37.82,52.0,2375,333,813,350.0,7.0549,331400,NEAR BAY
142,-122.2,37.81,45.0,2964,436,1067,426.0,6.7851,323500,NEAR BAY
143,-122.21,37.8,50.0,2833,605,1260,552.0,2.8929,216700,NEAR BAY
144,-122.21,37.8,38.0,2254,535,951,487.0,3.0812,233100,NEAR BAY
145,-122.21,37.81,52.0,1389,212,510,224.0,5.2402,296400,NEAR BAY
146,-122.22,37.81,52.0,1971,335,765,308.0,6.5217,273700,NEAR BAY
147,-122.22,37.8,52.0,2183,465,1129,460.0,3.2632,227700,NEAR BAY
148,-122.22,37.8,52.0,2286,464,None,441.0,3.0298,199600,NEAR BAY
149,-122.22,37.8,52.0,2721,541,1185,515.0,4.5428,239800,NEAR BAY
150,-122.22,37.81,52.0,46.5,339,756,340.0,4.072,270100,NEAR BAY
151,-122.22,37.81,52.0,2944,536,1034,521.0,5.3509,302100,NEAR BAY
152,-122.23,37.8,52.0,2033,486,787,459.0,3.1603,269500,123
153,-122.23,37.81,52.0,1433,229,612,213.0,4.7708,314700,NEAR BAY
154,-122.22,37.81,52.0,2927,402,1021,380.0,8.1564,390100,NEAR BAY
155,-122.23,37.81,52.0,2315,292,861,258.0,8.8793,410300,NEAR BAY
156,-122.24,37.81,52.0,2485,313,953,327.0,6.8591,352400,NEAR BAY
157,-122.24,37.81,52.0,1490,238,634,256.0,6.0302,287300,NEAR BAY
158,-122.23,37.81,52.0,2814,365,878,352.0,7.508,348700,NEAR BAY
159,-122.24,37.81,52.0,2093,550,918,483.0,2.7477,243800,46.5
160,-122.24,37.8,0.0,888,168,360,175.0,2.1944,211500,NEAR BAY
161,-122.25,37.8,52.0,2087,510,1197,488.0,3.0149,218400,NEAR BAY
162,None,37.81,52.0,2513,502,1048,518.0,3.675,269900,NEAR BAY
163,-122.25,37.81,46.0,3232,835,1373,747.0,3.225,218800,NEAR BAY
164,-122.25,37.8,42.0,4120,1065,1715,1015.0,2.9345,225000,NEAR BAY
165,-122.25,37.8,43.0,2364,792,1359,722.0,2.1429,250000,NEAR BAY
166,-122.25,37.8,41.0,1471,469,1062,413.0,1.6121,171400,NEAR BAY
167,-122.25,37.8,29.0,2468,864,1335,773.0,1.3929,193800,NEAR BAY
168,-122.24,37.79,27.0,1632,492,1171,429.0,2.3173,125000,NEAR BAY
169,-122.25,37.79,45.0,1786,526,1475,460.0,1.7772,97500,NEAR BAY
170,-122.25,37.79,50.0,46.5,188,742,196.0,2.6458,125000,NEAR BAY
171,-122.25,37.79,52.0,1339,391,1086,363.0,2.181,138800,NEAR BAY
172,-122.25,37.8,36.0,1678,606,1645,543.0,2.2303,116700,NEAR BAY
173,-122.25,37.8,43.0,2344,647,1710,644.0,1.6504,151800,NEAR BAY
174,-122.24,37.8,52.0,996,228,731,228.0,2.2697,127000,NEAR BAY
175,-122.24,37.8,52.0,1591,373,1118,347.0,2.1563,128600,NEAR BAY
176,-122.24,37.8,52.0,1586,398,1006,335.0,2.1348,140600,NEAR BAY
177,-122.24,37.8,47.0,2046,588,1213,554.0,2.6292,182700,NEAR BAY
178,-122.23,37.8,52.0,1192,289,772,257.0,2.3833,146900,NEAR BAY
179,-122.24,37.8,52.0,1803,420,1321,401.0,2.957,122800,NEAR BAY
180,-122.24,37.8,49.0,2838,749,1487,677.0,2.5238,169300,NEAR BAY
181,-122.23,37.8,52.0,783,184,488,186.0,1.9375,126600,NEAR BAY
182,-122.23,37.8,51.0,1590,414,949,392.0,1.9028,127900,NEAR BAY
183,-122.23,37.8,50.0,1746,480,1149,415.0,2.25,123500,NEAR BAY
184,-122.23,37.8,52.0,1252,299,46.5,280.0,2.3929,111900,NEAR BAY
185,-122.23,37.79,43.0,5963,1344,4367,1231.0,2.1917,112800,NEAR BAY
186,-122.23,37.79,52.0,1783,395,1659,412.0,2.9357,107900,NEAR BAY
187,-122.23,37.79,30.0,999,264,1011,263.0,1.8854,137500,NEAR BAY
188,-122.24,37.79,39.0,1469,431,1464,389.0,2.1638,105500,NEAR BAY
189,-122.24,37.79,47.0,1372,395,1237,303.0,2.125,95500,NEAR BAY
